+++ ptr=0x02132318 size=0x000004fc       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 1276 bytes)
+++ ptr=0x02132840 size=0x00000004       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x02132870 size=0x00000004       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 4 bytes)
+++ ptr=0x021328a0 size=0x00000078       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 120 bytes)
+++ ptr=0x02132948 size=0x000000c8       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 200 bytes)
+++ ptr=0x02132a40 size=0x00000002       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x02132a70 size=0x00000002       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x02132aa0 size=0x00002580       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 9600 bytes)
+++ ptr=0x02135050 size=0x00000002       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x02170650 size=0x0000003c       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 60 bytes)
+++ ptr=0x021706b8 size=0x00001900       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 6400 bytes)
+++ ptr=0x01e3c638 size=0x00000002       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x01e3c668 size=0x00000050       [0x00001104] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 80 bytes)
--- ptr=0x01e31138                       [0x00001104] (.\src\gamefile\gamedata_secmap.cpp:58, gamedata_secmap_destroy)
--- ptr=0x01e35070                       [0x00001104] (.\src\gamefile\spwaw\metadata_spwaw.cpp:47, gamedata_spwaw_free_metadata)
--- ptr=0x01e40040                       [0x00001104] (.\src\gamefile\spwaw\gamedata_spwaw.cpp:153, gamedata_spwaw_free_data)
--- ptr=0x01e310e0                       [0x00001104] (.\src\gamefile\gamedata.cpp:114, gamedata_free)
--- ptr=0x01e37f20                       [0x00001104] (.\src\api\api_savegame.cpp:59, SPWAW_savegame_free)
--- ptr=0x01e314d0                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x002d0068                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003026d8                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0030e288                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x00319e38                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x003259e8                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x00331598                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0033d148                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x00348cf8                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02090068                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01e31510                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x00420040                       [0x00001104] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
