+++ ptr=0x020d5050 size=0x00000002       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x02110650 size=0x0000003c       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 60 bytes)
+++ ptr=0x021106b8 size=0x00001900       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 6400 bytes)
+++ ptr=0x002ec650 size=0x00000002       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 2 bytes)
+++ ptr=0x002ec680 size=0x00000050       [0x000011c0] (.\src\api\api_savegame.cpp:103, SPWAW_savegame_load, 80 bytes)
--- ptr=0x002e1100                       [0x000011c0] (.\src\gamefile\gamedata_secmap.cpp:58, gamedata_secmap_destroy)
--- ptr=0x002e5088                       [0x000011c0] (.\src\gamefile\spwaw\metadata_spwaw.cpp:47, gamedata_spwaw_free_metadata)
--- ptr=0x01ce0040                       [0x000011c0] (.\src\gamefile\spwaw\gamedata_spwaw.cpp:153, gamedata_spwaw_free_data)
--- ptr=0x002e10a8                       [0x000011c0] (.\src\gamefile\gamedata.cpp:114, gamedata_free)
--- ptr=0x002e1040                       [0x000011c0] (.\src\gamefile\savegame_descriptor.cpp:141, savegame_descriptor_clear)
--- ptr=0x002e1070                       [0x000011c0] (.\src\gamefile\savegame_descriptor.cpp:148, savegame_descriptor_clear)
--- ptr=0x002e7f38                       [0x000011c0] (.\src\api\api_savegame.cpp:59, SPWAW_savegame_free)
--- ptr=0x002e1498                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f30068                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f626d8                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f6e288                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f79e38                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f859e8                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f91598                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01f9d148                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x01fa8cf8                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02030068                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x002e14d8                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02230040                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x002e1508                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0205ee98                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0205eec8                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0205eef8                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0205ef28                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0205ef58                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0201e028                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x002eab60                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02021ed8                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02021f08                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02021f38                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x02079568                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x002ead20                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0207a920                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0207af90                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
--- ptr=0x0207afc0                       [0x000011c0] (.\src\api\api_savegame.cpp:62, SPWAW_savegame_free)
